currency,year,exchange_rate_to_one_sgd
MKD,2023,42.4164721768055
XCD,2023,2.010975255830331
CHF,2023,0.6718837408521575
COP,2023,3260.653719580585
GYD,2023,156.44642178122757
VES,2023,20.418007992002348
VUV,2023,88.2521071695895
PEN,2023,2.782193225241004
IDR,2023,11301.238699883508
NGN,2023,449.16917540257595
AUD,2023,1.1196152334170084
TRY,2023,17.04413472586171
UZS,2023,8654.447309801735
THB,2023,25.821169678159038
JMD,2023,114.43572836031386
NOK,2023,7.8431168421021145
HKD,2010,5.705269830851132
INR,2010,33.49111734566635
ISK,2010,90.78418510418437
DZD,2010,53.22298640561656
FJD,2010,1.3983220668442287
SDG,2010,1.6853481009094937
VEF,2010,3.105636830496884
ANG,2010,1.337898903009052
BYR,2011,4049.0245408862174
IQD,2011,915.5421601042265
MKD,2011,34.94490160242181
PEN,2011,2.1470238705037703
UYU,2011,14.96817795255593
UZS,2011,1344.2861506749502
XAF,2011,367.84661217743957
NZD,2012,0.9885539601423506
ARS,2012,3.6362054926583176
LKR,2012,101.75598574124932
SZL,2012,6.457957189919934
TZS,2012,1250.6795210091711
UYU,2012,15.814026680869272
GBP,2013,0.5112509801764819
CHF,2013,0.7412525542714807
BND,2013,0.9847635465022068
BSD,2013,0.7952385994790057
BZD,2013,1.5623673151410582
HNL,2013,15.76254963621519
PAB,2013,0.7842859462171075
SVC,2013,6.848710331155496
CHF,2014,0.7222701446656024
SGD,2014,1.0
EUR,2014,0.5947859370274677
GHS,2014,2.3872714146243674
GTQ,2014,5.993111499193245
HTG,2014,34.43643081864216
KWD,2014,0.2239075515107846
MMK,2014,763.9677347083988
OMR,2014,0.30292897595334023
XPF,2014,70.93416685188004
SEK,2015,6.136316131100826
NZD,2015,1.0427244070581214
SGD,2015,1.0
BND,2015,0.9839164197983217
JOD,2015,0.511148255091477
MWK,2015,358.9586100987041
UAH,2015,15.70103595298115
NZD,2016,1.039830032038948
JOD,2016,0.5082514780903111
MDL,2016,14.22771236830203
SCR,2016,8.993109287742179
SZL,2016,10.531506652707076
MZN,2016,54.15724409506375
SHP,2016,1.2979407531168543
USD,2017,0.7245511372801814
JPY,2017,81.25539025944711
CAD,2017,0.940266081916925
BOB,2017,4.898839651937967
BWP,2017,7.38945291426854
BZD,2017,1.4246733496357262
MGA,2017,2229.20204938993
XCD,2017,1.9472835943232134
DKK,2018,4.681082750490183
CAD,2018,0.9606267059991066
DOP,2018,36.31734641978641
LRD,2018,103.56139279978966
MDL,2018,12.270285094647003
OMR,2018,0.2844381700388956
SAR,2018,2.7770080587140806
SZL,2018,9.680916020447198
UYU,2018,22.36336598702605
HRK,2019,4.856179322673308
ZAR,2019,10.5920679179922
JMD,2019,96.37938048877979
KWD,2019,0.22213824067682028
PYG,2019,4480.949546552704
RON,2020,3.0753309553329005
THB,2020,22.659912776817965
AFN,2020,55.58597857605334
BAM,2020,1.2418904740392658
BDT,2020,61.16044497310773
CLP,2020,570.9406859759473
MWK,2020,539.1594892984749
SCR,2020,12.243431080218171
SDG,2020,39.353892501055036
SZL,2020,11.867540494199881
ZMW,2020,13.261683633978683
CDF,2020,1404.2483396121013
CNH,2020,4.9913547944415235
AFN,2021,62.05295451398715
BWP,2021,8.248302374935692
COP,2021,2785.11029404382
CUP,2021,19.160935409579178
GEL,2021,2.3946060021956095
GIP,2021,0.5411624001597255
GYD,2021,155.6429154286692
KGS,2021,62.940889240650215
KMF,2021,313.3832542588548
KYD,2021,0.6202555779426415
KZT,2021,317.4708048764259
MOP,2021,5.957347669509058
MRO,2021,265.71661200066796
PAB,2021,0.7442451820148197
SEK,2021,6.385876307730429
SVC,2021,6.511089863987704
AFN,2022,65.31450459069113
BRL,2022,3.7452708770286867
CDF,2022,1463.9559043212003
CZK,2022,16.931699644052106
GNF,2022,6388.449638230304
GTQ,2022,5.621387815637247
LYD,2022,3.48415734463583
MMK,2022,1398.027044510224
MRU,2022,26.86366220246113
XAF,2022,452.13154623706606
XPD,2022,0.0007029111212282969
AMD,2023,290.6715388176853
MXN,2023,13.264905234369087
IQD,2023,1015.0011480222578
USD,2023,0.7443257756337208
AFN,2023,63.0482461577886
MVR,2023,11.436487675154014
HTG,2023,106.59544416484161
SAR,2023,2.791675224596522
JPY,2010,64.39655628555838
HRK,2010,4.0373646794590625
BRL,2010,1.2899418707649122
CNY,2010,4.959231942449731
IDR,2010,6616.364271884863
KRW,2010,848.2632750864378
THB,2010,23.158147862055557
BYR,2010,2163.9906236820943
GMD,2010,19.983195081712857
LSL,2010,5.274908406797515
PYG,2010,3424.2236677858064
NZD,2011,1.0064966043341947
ZAR,2011,5.762349516778297
CLP,2011,376.60377063094467
EGP,2011,4.703579166713352
MDL,2011,9.16875960312279
NIO,2011,17.56215041886377
XOF,2011,367.84661217743957
CAD,2012,0.800081532491119
BAM,2012,1.212259749547787
BBD,2012,1.5667401470258542
BOB,2012,5.461321069044216
BWP,2012,6.003863711402527
BYR,2012,6644.971855960003
CRC,2012,394.1162751671614
MMK,2012,501.09977366558866
PKR,2012,134.05507936949516
FJD,2013,1.454119459615102
IQD,2013,911.3340385853068
KHR,2013,3151.2159834282056
LAK,2013,6131.162981349455
LBP,2013,1180.7586182739572
MKD,2013,36.9208309408771
MRO,2013,231.75685601743047
PEN,2013,2.111041183739401
PKR,2013,80.7977409481119
XPF,2013,71.83533958112976
ILS,2014,2.818309130907517
NZD,2014,0.9516317069579765
KES,2014,68.2446181676557
SVC,2014,6.770390057280432
BGN,2015,1.2780577973608145
BRL,2015,2.4144686438729446
BYR,2015,10754.824043713674
CRC,2015,380.9106555132817
FJD,2015,1.5094624996826878
HNL,2015,15.401487773663849
JMD,2015,83.8085031809998
OMR,2015,0.2793318381287473
PYG,2015,3698.421907993198
TTD,2015,4.532972187003528
PHP,2016,34.25858872198618
EUR,2016,0.6547018111748121
AED,2016,2.6585947809892674
